party_id,district_id,election_year,vote_share_lag,is_new_party,Absent rate within country 2078,Absent rate abroad 2078,Literacy Rate 2078,Primary Education % 2078,Lower Secondary % 2078,Upper Secondary % 2078,SLC or SEE % 2078,Intermediate & equivalent % 2078,Graduate & equivalent % 2078,Post graduate equivalent & above % 2078,IS_Major?,IS_ALTERNATIVE_FORCE?,GenZ_and_Youth_Favored?,Was_Part_Of_Ousted_Government?,Facebook_Presence (In Thousands),Top_leader_fb (in Thousands),facebook_log,leader_following_log,female_ratio,age_18-29_ratio,age_30-39_ratio,age_40-49_ratio,age_50-59_ratio,age_60-69_ratio,age_70+_ratio,total_voters,valid_turnout_lag
P029,50,2082,0.0,1,12.59,13.71,79.97,30.43,19.94,14.93,8.75,12.9,2.74,1.33,0,0,0,0,1.0,1.0,0.6931471805599453,0.6931471805599453,0.5097398400049643,0.17965570557603902,0.2546423898935263,0.1921388347355738,0.14608984336620454,0.11511989285400323,0.11235333357465314,193381,51.03
P030,50,2082,0.0,1,12.59,13.71,79.97,30.43,19.94,14.93,8.75,12.9,2.74,1.33,0,0,0,0,1.0,1.0,0.6931471805599453,0.6931471805599453,0.5097398400049643,0.17965570557603902,0.2546423898935263,0.1921388347355738,0.14608984336620454,0.11511989285400323,0.11235333357465314,193381,51.03
P031,50,2082,0.0122321665205602,0,12.59,13.71,79.97,30.43,19.94,14.93,8.75,12.9,2.74,1.33,0,0,0,0,1.0,1.0,0.6931471805599453,0.6931471805599453,0.5097398400049643,0.17965570557603902,0.2546423898935263,0.1921388347355738,0.14608984336620454,0.11511989285400323,0.11235333357465314,193381,51.03
P032,50,2082,0.0,1,12.59,13.71,79.97,30.43,19.94,14.93,8.75,12.9,2.74,1.33,0,0,0,0,13.0,1.0,2.6390573296152584,0.6931471805599453,0.5097398400049643,0.17965570557603902,0.2546423898935263,0.1921388347355738,0.14608984336620454,0.11511989285400323,0.11235333357465314,193381,51.03
P033,50,2082,0.0081547776803734,0,12.59,13.71,79.97,30.43,19.94,14.93,8.75,12.9,2.74,1.33,0,0,0,0,1.0,1.0,0.6931471805599453,0.6931471805599453,0.5097398400049643,0.17965570557603902,0.2546423898935263,0.1921388347355738,0.14608984336620454,0.11511989285400323,0.11235333357465314,193381,51.03
P034,50,2082,0.0050967360502334,0,12.59,13.71,79.97,30.43,19.94,14.93,8.75,12.9,2.74,1.33,0,0,0,0,1.0,1.0,0.6931471805599453,0.6931471805599453,0.5097398400049643,0.17965570557603902,0.2546423898935263,0.1921388347355738,0.14608984336620454,0.11511989285400323,0.11235333357465314,193381,51.03
P035,50,2082,0.0,1,12.59,13.71,79.97,30.43,19.94,14.93,8.75,12.9,2.74,1.33,0,0,0,0,1.0,1.0,0.6931471805599453,0.6931471805599453,0.5097398400049643,0.17965570557603902,0.2546423898935263,0.1921388347355738,0.14608984336620454,0.11511989285400323,0.11235333357465314,193381,51.03
P036,50,2082,0.0040773888401867,0,12.59,13.71,79.97,30.43,19.94,14.93,8.75,12.9,2.74,1.33,0,0,0,0,1.0,1.0,0.6931471805599453,0.6931471805599453,0.5097398400049643,0.17965570557603902,0.2546423898935263,0.1921388347355738,0.14608984336620454,0.11511989285400323,0.11235333357465314,193381,51.03
P037,50,2082,0.0,1,12.59,13.71,79.97,30.43,19.94,14.93,8.75,12.9,2.74,1.33,0,0,0,0,1.0,1.0,0.6931471805599453,0.6931471805599453,0.5097398400049643,0.17965570557603902,0.2546423898935263,0.1921388347355738,0.14608984336620454,0.11511989285400323,0.11235333357465314,193381,51.03
P038,50,2082,0.0,1,12.59,13.71,79.97,30.43,19.94,14.93,8.75,12.9,2.74,1.33,0,0,0,0,1.0,1.0,0.6931471805599453,0.6931471805599453,0.5097398400049643,0.17965570557603902,0.2546423898935263,0.1921388347355738,0.14608984336620454,0.11511989285400323,0.11235333357465314,193381,51.03
